Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,Nation
TMK Mawoyo ,2006-2014,7,7,0,58,15,8.28,160,36.25,0,0,1,SCOT
D Murphy ,2013-2013,8,7,2,58,20,11.6,118,49.15,0,0,0,UAE
Saqlain Haider ,2014-2016,5,4,0,58,28,14.5,77,75.32,0,0,0,NAM
M van Schoor ,2003-2003,5,5,1,58,24,14.5,111,52.25,0,0,0,AUS
B Yardley ,1978-1983,7,4,0,58,28,14.5,98,59.18,0,0,1,BDESH
KD Boyce ,1973-1975,8,4,0,57,34,14.25,77,74.02,0,0,0,EAf
Ehsanul Haque ,2002-2003,6,6,0,57,20,9.5,129,44.18,0,0,1,SCOT
Frasat Ali ,1975-1975,3,3,0,57,45,19.0,176,32.38,0,0,1,AUS
G Salmond ,1999-1999,5,5,0,57,31,11.4,109,52.29,0,0,0,UAE
AJ Tye ,2018-2018,7,7,3,57,19,14.25,48,118.75,0,0,0,IRE
V Aravind ,2019-2019,3,3,0,56,23,18.66,73,76.71,0,0,0,ENG
RS Haire ,2008-2008,2,2,0,56,54,28.0,72,77.77,0,1,0,KENYA
JK Lever ,1976-1982,22,11,4,56,27,8.0,152,36.84,0,0,1,PAK
NM Odhiambo ,2010-2013,8,6,0,56,29,9.33,121,46.28,0,0,0,SA
Sohail Fazal ,1989-1989,2,2,0,56,32,28.0,59,94.91,0,0,0,ENG
LL Tsotsobe ,2009-2013,61,21,13,56,16,7.0,109,51.37,0,0,3,NZ
MA Wood ,2015-2019,51,17,10,56,13,8.0,63,88.88,0,0,3,ZIM
MW Douglas ,1994-1995,6,6,0,55,30,9.16,123,44.71,0,0,1,SA
TV Mufambisi ,2006-2007,6,6,0,55,21,9.16,90,61.11,0,0,0,ZIM
SJ Palframan ,1996-1996,7,4,0,55,28,13.75,80,68.75,0,0,0,SL
TK Patel ,2019-2019,5,5,3,55,50,27.5,102,53.92,0,1,0,UAE
EC Rainsford ,2004-2010,39,23,13,55,9,5.5,134,41.04,0,0,2,UAE
SK Ranasinghe ,1986-1986,4,3,0,55,41,18.33,81,67.9,0,0,1,AUS
Abdul Shakoor ,2015-2018,3,3,0,54,24,18.0,102,52.94,0,0,0,ENG
Arshad Ali ,2004-2008,4,4,0,54,41,13.5,102,52.94,0,0,1,ENG
RJ Campbell ,2002-2002,2,2,0,54,38,27.0,70,77.14,0,0,0,PNG
RD Jackman ,1974-1983,15,9,1,54,14,6.75,93,58.06,0,0,1,NZ
RWT Key ,2003-2004,5,5,0,54,19,10.8,135,40.0,0,0,1,CAN
J Kila ,2018-2019,6,6,2,54,21,13.5,63,85.71,0,0,1,INDIA
BJ McKechnie ,1975-1981,14,8,4,54,27,13.5,145,37.24,0,0,1,WI
Mohammad Iqbal ,2007-2008,5,5,0,54,30,10.8,80,67.5,0,0,1,EAf
JV Paranjpe ,1998-1998,4,4,1,54,27,18.0,91,59.34,0,0,0,INDIA
RG Samuels ,1996-1997,8,5,2,54,36,18.0,63,85.71,0,0,0,AUS
RK Sethi ,1975-1975,3,3,0,54,30,18.0,185,29.18,0,0,0,PAK
S Venkataraghavan ,1974-1983,15,9,4,54,26,10.8,126,42.85,0,0,2,BDESH
BCJ Cutting ,2013-2014,4,2,0,53,27,26.5,67,79.1,0,0,0,BDESH
Ghulam Ali ,1993-1995,3,3,0,53,38,17.66,121,43.8,0,0,0,ZIM
Mafizur Rahman ,1997-1997,4,4,1,53,16,17.66,104,50.96,0,0,0,BDESH
Manjural Islam ,1999-2003,34,22,13,53,13,5.88,134,39.55,0,0,4,SL
WP Masakadza ,2015-2018,17,10,1,53,15,5.88,125,42.4,0,0,3,ENG
Mohammad Sharif ,2001-2007,9,9,5,53,13,13.25,102,51.96,0,0,1,WI
RAP Nissanka ,2001-2003,23,13,5,53,11,6.62,140,37.85,0,0,2,AUS
DL Underwood ,1973-1982,26,13,4,53,17,5.88,133,39.84,0,0,2,SCOT
CAK Walton ,2009-2017,9,8,0,53,19,6.62,86,61.62,0,0,4,NZ
AJ Woodcock ,1974-1974,1,1,0,53,53,53.0,67,79.1,0,1,0,USA
JE Brinkley ,1999-1999,5,5,0,52,23,10.4,118,44.06,0,0,1,ZIM
TK Canning ,2003-2005,4,4,1,52,23,17.33,73,71.23,0,0,1,SL
JS Malhotra ,2019-2019,5,5,0,52,18,10.4,71,73.23,0,0,1,PNG
